species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters,locationID,clusterID_num
Aspa,Aspat-1581,RRAP_ECT01_2022_Aspat_OCDA_1581,-18.825474,147.626425,OCDA,1.9,NA,NA,OCDA_99,253
Aspa,Aspat-1582,RRAP_ECT01_2022_Aspat_OCDA_1582,-18.825455,147.626416,OCDA,2,NA,NA,OCDA_106,253
Aspa,Aspat-1583,RRAP_ECT01_2022_Aspat_OCDA_1583,-18.825442,147.626479,OCDA,1.2,NA,NA,OCDA_111,253
Aspa,Aspat-1584,RRAP_ECT01_2022_Aspat_OCDA_1584,-18.825365,147.626494,OCDA,2.1,NA,NA,OCDA_123,253
Aspa,Aspat-1585,RRAP_ECT01_2022_Aspat_OCDA_1585,-18.825355,147.626527,OCDA,2.7,NA,NA,OCDA_124,253
Aspa,Aspat-1586,RRAP_ECT01_2022_Aspat_OCDA_1586,-18.825385,147.62658,OCDA,1.6,NA,NA,OCDA_118,253
Aspa,Aspat-1587,RRAP_ECT01_2022_Aspat_OCDA_1587,-18.825382,147.626606,OCDA,2.4,NA,NA,OCDA_121,253
Aspa,Aspat-1588,RRAP_ECT01_2022_Aspat_OCDA_1588,-18.8254,147.626624,OCDA,1.7,NA,NA,OCDA_117,253
Aspa,Aspat-1589,RRAP_ECT01_2022_Aspat_OCDA_1589,-18.825441,147.626639,OCDA,1.2,NA,NA,OCDA_112,253
Aspa,Aspat-1590,RRAP_ECT01_2022_Aspat_OCDA_1590,-18.825315,147.626725,OCDA,1.7,NA,NA,OCDA_126,253
Aspa,Aspat-1591,RRAP_ECT01_2022_Aspat_OCDA_1591,-18.825289,147.626655,OCDA,1.3,NA,NA,OCDA_127,253
Aspa,Aspat-1592,RRAP_ECT01_2022_Aspat_OCDA_1592,-18.825317,147.626702,OCDA,1.7,NA,NA,OCDA_125,253
Aspa,Aspat-1593,RRAP_ECT01_2022_Aspat_OCDA_1593,-18.825247,147.626596,OCDA,0.7,NA,NA,OCDA_129,253
Aspa,Aspat-1594,RRAP_ECT01_2022_Aspat_OCDA_1594,-18.825202,147.626635,OCDA,2.7,NA,NA,OCDA_131,253
Aspa,Aspat-1595,RRAP_ECT01_2022_Aspat_OCDA_1595,-18.825193,147.626659,OCDA,2.5,NA,NA,OCDA_132,253
Aspa,Aspat-1596,RRAP_ECT01_2022_Aspat_CBLM_1596,-23.90743973,152.3867061,CBLM,4,NA,NA,CBLM_47,78
Aspa,Aspat-1597,RRAP_ECT01_2022_Aspat_CBLM_1597,-23.90743109,152.386691,CBLM,4,NA,NA,CBLM_48,78
Aspa,Aspat-1598,RRAP_ECT01_2022_Aspat_CBLM_1598,-23.90741182,152.3866715,CBLM,4.1,NA,NA,CBLM_50,78
Aspa,Aspat-1599,RRAP_ECT01_2022_Aspat_CBLM_1599,-23.90742783,152.3866732,CBLM,4.2,NA,NA,CBLM_49,78
Aspa,Aspat-1600,RRAP_ECT01_2022_Aspat_CBLM_1600,-23.90737393,152.3865905,CBLM,3.7,NA,NA,CBLM_52,78
Aspa,Aspat-1601,RRAP_ECT01_2022_Aspat_CBLM_1601,-23.90741014,152.3865734,CBLM,3.5,NA,NA,CBLM_51,78
Aspa,Aspat-1602,RRAP_ECT01_2022_Aspat_CBLM_1602,-23.9075072,152.3865234,CBLM,2.4,NA,NA,CBLM_46,78
Aspa,Aspat-1603,RRAP_ECT01_2022_Aspat_CBLM_1603,-23.90767048,152.3866346,CBLM,4.2,NA,NA,CBLM_42,77
Aspa,Aspat-1604,RRAP_ECT01_2022_Aspat_CBLM_1604,-23.90768666,152.3866475,CBLM,2.2,NA,NA,CBLM_41,77
Aspa,Aspat-1605,RRAP_ECT01_2022_Aspat_CBLM_1605,-23.90773108,152.3866667,CBLM,2.1,NA,NA,CBLM_38,77
Aspa,Aspat-1606,RRAP_ECT01_2022_Aspat_CBLM_1606,-23.90830969,152.3865203,CBLM,-0.7,NA,NA,CBLM_35,72
Aspa,Aspat-1607,RRAP_ECT01_2022_Aspat_CBLM_1607,-23.90832494,152.3864977,CBLM,-1,NA,NA,CBLM_32,72
Aspa,Aspat-1608,RRAP_ECT01_2022_Aspat_CBLM_1608,-23.90835813,152.3865083,CBLM,-1,NA,NA,CBLM_30,72
Aspa,Aspat-1609,RRAP_ECT01_2022_Aspat_CBLM_1609,-23.90836962,152.3865145,CBLM,-1,NA,NA,CBLM_28,72
Aspa,Aspat-1610,RRAP_ECT01_2022_Aspat_CBLM_1610,-23.90836618,152.3865228,CBLM,-1,NA,NA,CBLM_29,72
Aspa,Aspat-1611,RRAP_ECT01_2022_Aspat_CBLM_1611,-23.88356882,152.41571,CBLM,2,NA,NA,CBLM_81,95
Aspa,Aspat-1612,RRAP_ECT01_2022_Aspat_CBLM_1612,-23.88372414,152.4158023,CBLM,4.1,NA,NA,CBLM_80,94
Aspa,Aspat-1613,RRAP_ECT01_2022_Aspat_CBLM_1613,-23.88355432,152.4162366,CBLM,1.2,NA,NA,CBLM_82,96
Aspa,Aspat-1614,RRAP_ECT01_2022_Aspat_CBLM_1614,-23.8834099,152.4165353,CBLM,2.7,NA,NA,CBLM_84,98
Aspa,Aspat-1615,RRAP_ECT01_2022_Aspat_CBLM_1615,-23.88336388,152.4167807,CBLM,3.7,NA,NA,CBLM_85,99
Aspa,Aspat-1616,RRAP_ECT01_2022_Aspat_CBLM_1616,-23.88349799,152.4164156,CBLM,1.1,NA,NA,CBLM_83,97
Aspa,Aspat-1617,RRAP_ECT01_2022_Aspat_CBLM_1617,-23.90760938,152.3866694,CBLM,NA,NA,NA,CBLM_45,77
Aspa,Aspat-1618,RRAP_ECT01_2022_Aspat_CBLM_1618,-23.90765657,152.3866973,CBLM,NA,NA,NA,CBLM_44,77
Aspa,Aspat-1619,RRAP_ECT01_2022_Aspat_CBLM_1619,-23.90766101,152.3866995,CBLM,1.5,NA,NA,CBLM_43,77
Aspa,Aspat-1620,RRAP_ECT01_2022_Aspat_CBLM_1620,-23.90769848,152.3866834,CBLM,1.4,NA,NA,CBLM_40,77
Aspa,Aspat-1621,RRAP_ECT01_2022_Aspat_CBLM_1621,-23.90772924,152.3867169,CBLM,1.1,NA,NA,CBLM_39,77
Aspa,Aspat-1622,RRAP_ECT01_2022_Aspat_CBLM_1622,-23.90789662,152.3867519,CBLM,1.1,NA,NA,CBLM_37,76
Aspa,Aspat-1623,RRAP_ECT01_2022_Aspat_CBLM_1623,-23.9080216,152.3867485,CBLM,0.9,NA,NA,CBLM_36,75
