species,individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthOfColonyinMetersCorrected,depthOfColonyinMeters
Aspa,Aspat-1596,RRAP_ECT01_2022_Aspat_CBLM_1596,-23.90743973,152.3867061,CBLM,4,NA,NA
Aspa,Aspat-1597,RRAP_ECT01_2022_Aspat_CBLM_1597,-23.90743109,152.386691,CBLM,4,NA,NA
Aspa,Aspat-1599,RRAP_ECT01_2022_Aspat_CBLM_1599,-23.90742783,152.3866732,CBLM,4.2,NA,NA
Aspa,Aspat-1601,RRAP_ECT01_2022_Aspat_CBLM_1601,-23.90741014,152.3865734,CBLM,3.5,NA,NA
Aspa,Aspat-1602,RRAP_ECT01_2022_Aspat_CBLM_1602,-23.9075072,152.3865234,CBLM,2.4,NA,NA
Aspa,Aspat-1603,RRAP_ECT01_2022_Aspat_CBLM_1603,-23.90767048,152.3866346,CBLM,4.2,NA,NA
Aspa,Aspat-1604,RRAP_ECT01_2022_Aspat_CBLM_1604,-23.90768666,152.3866475,CBLM,2.2,NA,NA
Aspa,Aspat-1605,RRAP_ECT01_2022_Aspat_CBLM_1605,-23.90773108,152.3866667,CBLM,2.1,NA,NA
Aspa,Aspat-1608,RRAP_ECT01_2022_Aspat_CBLM_1608,-23.90835813,152.3865083,CBLM,-1,NA,NA
Aspa,Aspat-1610,RRAP_ECT01_2022_Aspat_CBLM_1610,-23.90836618,152.3865228,CBLM,-1,NA,NA
Aspa,Aspat-1611,RRAP_ECT01_2022_Aspat_CBLM_1611,-23.88356882,152.41571,CBLM,2,NA,NA
Aspa,Aspat-1613,RRAP_ECT01_2022_Aspat_CBLM_1613,-23.88355432,152.4162366,CBLM,1.2,NA,NA
Aspa,Aspat-1616,RRAP_ECT01_2022_Aspat_CBLM_1616,-23.88349799,152.4164156,CBLM,1.1,NA,NA
Aspa,Aspat-1618,RRAP_ECT01_2022_Aspat_CBLM_1618,-23.90765657,152.3866973,CBLM,NA,NA,NA
Aspa,Aspat-1620,RRAP_ECT01_2022_Aspat_CBLM_1620,-23.90769848,152.3866834,CBLM,1.4,NA,NA
Aspa,Aspat-1622,RRAP_ECT01_2022_Aspat_CBLM_1622,-23.90789662,152.3867519,CBLM,1.1,NA,NA
Aspa,Aspat-1625,RRAP_ECT01_2022_Aspat_CBLM_1625,-23.90832678,152.3865125,CBLM,-1.1,NA,NA
Aspa,Aspat-1626,RRAP_ECT01_2022_Aspat_CBLM_1626,-23.90860246,152.3867034,CBLM,-0.4,NA,NA
Aspa,Aspat-1627,RRAP_ECT01_2022_Aspat_CBLM_1627,-23.90872367,152.386629,CBLM,-0.4,NA,NA
Aspa,Aspat-1628,RRAP_ECT01_2022_Aspat_CBLM_1628,-23.90881679,152.386503,CBLM,-0.4,NA,NA
