individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthNote,coordNote,sequenceID,country,cluster,locality,yearCollected,verbatimDepth,associatedTaxa,identificationRemarks,scientificName,lineage
Aspat-849,RRAP_ECT01_2022_Aspat_FITI_849,-16.940808,145.99445,FITI,1.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITI-849_L3,Australia,,Fitzroy Island ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-850,RRAP_ECT01_2022_Aspat_FITI_850,-16.940902,145.994427,FITI,1.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITI-850_L1,Australia,,Fitzroy Island ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50b,AS1,Acropora spathulata,AS1
Aspat-851,RRAP_ECT01_2022_Aspat_FITI_851,-16.940632,145.994726,FITI,1.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITI-851_L1,Australia,,Fitzroy Island ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-1656,RRAP_ECT01_2022_Aspat_FITR_1656,-23.61269848,152.1551499,FITR,0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1656_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50b,AS2,Acropora spathulata,AS1
Aspat-1657,RRAP_ECT01_2022_Aspat_FITR_1657,-23.61273696,152.1551793,FITR,0.5,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1657_L4,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1658,RRAP_ECT01_2022_Aspat_FITR_1658,-23.61273981,152.1551789,FITR,0.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1658_L4,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,NA,Acropora spathulata,AS1
Aspat-1659,RRAP_ECT01_2022_Aspat_FITR_1659,-23.61276244,152.1551767,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1659_L4,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1660,RRAP_ECT01_2022_Aspat_FITR_1660,-23.61279085,152.1551679,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1660_L4,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1661,RRAP_ECT01_2022_Aspat_FITR_1661,-23.61285313,152.155153,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1661_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1662,RRAP_ECT01_2022_Aspat_FITR_1662,-23.61286864,152.1551611,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1662_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_25,Acropora spathulata,AS1
Aspat-1663,RRAP_ECT01_2022_Aspat_FITR_1663,-23.61289487,152.1551909,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1663_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_25,Acropora spathulata,AS1
Aspat-1664,RRAP_ECT01_2022_Aspat_FITR_1664,-23.61289144,152.155196,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1664_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_25,Acropora spathulata,AS1
Aspat-1665,RRAP_ECT01_2022_Aspat_FITR_1665,-23.61294835,152.1551952,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1665_L4,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1666,RRAP_ECT01_2022_Aspat_FITR_1666,-23.61311037,152.155027,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1666_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1667,RRAP_ECT01_2022_Aspat_FITR_1667,-23.61315354,152.1549629,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1667_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2,Acropora spathulata,AS1
Aspat-1668,RRAP_ECT01_2022_Aspat_FITR_1668,-23.61314868,152.1549424,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1668_L4,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1669,RRAP_ECT01_2022_Aspat_FITR_1669,-23.6132102,152.1549204,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1669_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1670,RRAP_ECT01_2022_Aspat_FITR_1670,-23.61324825,152.1548894,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1670_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_26,Acropora spathulata,AS1
Aspat-1671,RRAP_ECT01_2022_Aspat_FITR_1671,-23.61323677,152.1548745,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1671_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_26,Acropora spathulata,AS1
Aspat-1672,RRAP_ECT01_2022_Aspat_FITR_1672,-23.61323434,152.1548535,FITR,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1672_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_26,Acropora spathulata,AS1
Aspat-1673,RRAP_ECT01_2022_Aspat_FITR_1673,-23.61330198,152.1548048,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1673_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2,Acropora spathulata,AS1
Aspat-1674,RRAP_ECT01_2022_Aspat_FITR_1674,-23.61333735,152.1547489,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1674_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_27,Acropora spathulata,AS1
Aspat-1675,RRAP_ECT01_2022_Aspat_FITR_1675,-23.61333995,152.1546884,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1675_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_27,Acropora spathulata,AS1
Aspat-1676,RRAP_ECT01_2022_Aspat_FITR_1676,-23.61333442,152.1546905,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1676_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_27,Acropora spathulata,AS1
Aspat-1677,RRAP_ECT01_2022_Aspat_FITR_1677,-23.613377,152.1546883,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1677_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_28,Acropora spathulata,AS1
Aspat-1678,RRAP_ECT01_2022_Aspat_FITR_1678,-23.61338505,152.1546684,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1678_L4,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_28,Acropora spathulata,AS1
Aspat-1679,RRAP_ECT01_2022_Aspat_FITR_1679,-23.61339368,152.1546109,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1679_L4,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1680,RRAP_ECT01_2022_Aspat_FITR_1680,-23.61335688,152.1544077,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1680_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_AS1,Acropora spathulata,AS1
Aspat-1681,RRAP_ECT01_2022_Aspat_FITR_1681,-23.61333325,152.1543921,FITR,0.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1681_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1682,RRAP_ECT01_2022_Aspat_FITR_1682,-23.6131967,152.1543092,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1682_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1683,RRAP_ECT01_2022_Aspat_FITR_1683,-23.61311716,152.1543358,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1683_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1684,RRAP_ECT01_2022_Aspat_FITR_1684,-23.61304265,152.1543612,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1684_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_AS1,Acropora spathulata,AS1
Aspat-1685,RRAP_ECT01_2022_Aspat_FITR_1685,-23.61297802,152.1544509,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1685_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1686,RRAP_ECT01_2022_Aspat_FITR_1686,-23.61292337,152.1544842,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1686_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1687,RRAP_ECT01_2022_Aspat_FITR_1687,-23.61279773,152.1476459,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1687_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1688,RRAP_ECT01_2022_Aspat_FITR_1688,-23.61268482,152.1476954,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1688_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1689,RRAP_ECT01_2022_Aspat_FITR_1689,-23.61283083,152.1475072,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1689_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1690,RRAP_ECT01_2022_Aspat_FITR_1690,-23.61320064,152.1471301,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1690_L3,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_29,Acropora spathulata,AS1
Aspat-1691,RRAP_ECT01_2022_Aspat_FITR_1691,-23.6131807,152.1471603,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1691_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_29,Acropora spathulata,AS1
Aspat-1692,RRAP_ECT01_2022_Aspat_FITR_1692,-23.61311691,152.1474468,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1692_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2_AS1,Acropora spathulata,AS1
Aspat-1693,RRAP_ECT01_2022_Aspat_FITR_1693,-23.61308808,152.1474849,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1693_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1694,RRAP_ECT01_2022_Aspat_FITR_1694,-23.61294986,152.1475393,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1694_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1695,RRAP_ECT01_2022_Aspat_FITR_1695,-23.61271592,152.1478878,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1695_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1696,RRAP_ECT01_2022_Aspat_FITR_1696,-23.61271424,152.147891,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1696_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_AS1,Acropora spathulata,AS1
Aspat-1697,RRAP_ECT01_2022_Aspat_FITR_1697,-23.61268122,152.1479282,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1697_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1698,RRAP_ECT01_2022_Aspat_FITR_1698,-23.61267929,152.1480325,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1698_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1699,RRAP_ECT01_2022_Aspat_FITR_1699,-23.61263922,152.1480894,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1699_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2,Acropora spathulata,AS1
Aspat-1700,RRAP_ECT01_2022_Aspat_FITR_1700,-23.61261995,152.1481099,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1700_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS2,Acropora spathulata,AS1
Aspat-1701,RRAP_ECT01_2022_Aspat_FITR_1701,-23.6125663,152.1481586,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1701_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1702,RRAP_ECT01_2022_Aspat_FITR_1702,-23.61244711,152.1482531,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1702_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2,Acropora spathulata,AS1
Aspat-1703,RRAP_ECT01_2022_Aspat_FITR_1703,-23.61241744,152.1483251,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1703_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1704,RRAP_ECT01_2022_Aspat_FITR_1704,-23.61237461,152.1483562,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1704_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1705,RRAP_ECT01_2022_Aspat_FITR_1705,-23.61233228,152.1483573,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1705_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1706,RRAP_ECT01_2022_Aspat_FITR_1706,-23.61230537,152.1483886,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1706_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2,Acropora spathulata,AS1
Aspat-1707,RRAP_ECT01_2022_Aspat_FITR_1707,-23.61223681,152.1483894,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1707_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_30,Acropora spathulata,AS1
Aspat-1708,RRAP_ECT01_2022_Aspat_FITR_1708,-23.61219741,152.1483736,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1708_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1709,RRAP_ECT01_2022_Aspat_FITR_1709,-23.61212407,152.148339,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1709_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2,Acropora spathulata,AS1
Aspat-1710,RRAP_ECT01_2022_Aspat_FITR_1710,-23.61204537,152.1483796,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1710_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_30,Acropora spathulata,AS1
Aspat-1711,RRAP_ECT01_2022_Aspat_FITR_1711,-23.61202022,152.1484059,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1711_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2,Acropora spathulata,AS1
Aspat-1712,RRAP_ECT01_2022_Aspat_FITR_1712,-23.61199122,152.1484624,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1712_L1,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2,Acropora spathulata,AS1
Aspat-1713,RRAP_ECT01_2022_Aspat_FITR_1713,-23.61193506,152.1484239,FITR,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1713_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2,Acropora spathulata,AS1
Aspat-1714,RRAP_ECT01_2022_Aspat_FITR_1714,-23.61183649,152.1483399,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1714_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2,Acropora spathulata,AS1
Aspat-1715,RRAP_ECT01_2022_Aspat_FITR_1715,-23.61178771,152.1482628,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1715_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_30,Acropora spathulata,AS1
Aspat-1716,RRAP_ECT01_2022_Aspat_FITR_1716,-23.61177354,152.148235,FITR,-0.7,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-FITR-1716_L2,Australia,,Fitzroy  ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50c,AS2_AS1,Acropora spathulata,AS1
Aspat-1717,RRAP_ECT01_2022_Aspat_CBHE_1717,-23.43974219,151.9800225,CBHE,0.2,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1717_L2,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,NA,Acropora spathulata,AS1
Aspat-1718,RRAP_ECT01_2022_Aspat_CBHE_1718,-23.43960883,151.9798389,CBHE,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1718_L1,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2_12,Acropora spathulata,AS1
Aspat-1719,RRAP_ECT01_2022_Aspat_CBHE_1719,-23.43965795,151.9797847,CBHE,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1719_L1,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2_12,Acropora spathulata,AS1
Aspat-1720,RRAP_ECT01_2022_Aspat_CBHE_1720,-23.43968485,151.9797746,CBHE,-1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1720_L2,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2_12,Acropora spathulata,AS1
Aspat-1721,RRAP_ECT01_2022_Aspat_CBHE_1721,-23.43969902,151.9797729,CBHE,-1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1721_L2,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2_13,Acropora spathulata,AS1
Aspat-1722,RRAP_ECT01_2022_Aspat_CBHE_1722,-23.43974303,151.9797493,CBHE,-1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1722_L2,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2_12,Acropora spathulata,AS1
Aspat-1723,RRAP_ECT01_2022_Aspat_CBHE_1723,-23.43975342,151.979739,CBHE,-0.9,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1723_L2,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50b,AS2,Acropora spathulata,AS1
Aspat-1724,RRAP_ECT01_2022_Aspat_CBHE_1724,-23.43977496,151.9797213,CBHE,-0.8,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1724_L2,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50b,AS2,Acropora spathulata,AS1
Aspat-1725,RRAP_ECT01_2022_Aspat_CBHE_1725,-23.43968452,151.9795906,CBHE,-1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1725_L2,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS2_14,Acropora spathulata,AS1
Aspat-1726,RRAP_ECT01_2022_Aspat_CBHE_1726,-23.43975786,151.979636,CBHE,-0.6,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-CBHE-1726_L1,Australia,Offshore South GBR,Heron ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C50b,AS2_14,Acropora spathulata,AS1
