individualID,materialSampleID,decimalLatitude,decimalLongitude,locationID_short,depthOfBottomInMetersCorrected,depthNote,coordNote,sequenceID,country,cluster,locality,yearCollected,verbatimDepth,associatedTaxa,identificationRemarks,scientificName,lineage
Aspat-1516,RRAP_ECT01_2022_Aspat_OCCH_1516,-18.669426,147.706876,OCCH,-0.4,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1516_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1_9,Acropora spathulata,AS1
Aspat-1516-B,RRAP_ECT01_2022_Aspat_OCCH_1516_B,-18.669426,147.706876,OCCH,-0.4,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1516-B_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1_9,Acropora spathulata,AS1
Aspat-1517,RRAP_ECT01_2022_Aspat_OCCH_1517,-18.669365,147.706865,OCCH,-0.2,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1517_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1518,RRAP_ECT01_2022_Aspat_OCCH_1518,-18.669363,147.70688,OCCH,-0.3,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1518_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1519,RRAP_ECT01_2022_Aspat_OCCH_1519,-18.669288,147.706917,OCCH,-0.1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1519_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-1520,RRAP_ECT01_2022_Aspat_OCCH_1520,-18.669297,147.706837,OCCH,-0.1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1520_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1521,RRAP_ECT01_2022_Aspat_OCCH_1521,-18.669341,147.706728,OCCH,-0.2,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1521_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1522,RRAP_ECT01_2022_Aspat_OCCH_1522,-18.669281,147.706613,OCCH,-0.4,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1522_L4,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
Aspat-1523,RRAP_ECT01_2022_Aspat_OCCH_1523,-18.669272,147.706599,OCCH,0.1,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1523_L2,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,NA,AS1,Acropora spathulata,AS1
Aspat-1524,RRAP_ECT01_2022_Aspat_OCCH_1524,-18.669263,147.706531,OCCH,-0.4,Correction done by HD,Original metadata entry,RRAP-ECT01-2022-Aspat-OCCH-1524_L3,Australia,Offshore Central GBR,Chicken ,2022,Depth is tide-corrected and standardized to the lowest astronomical tide (LAT). Negative values indicate colonies above the LAT. ,C3k,AS1,Acropora spathulata,AS1
