individualID,materialSampleID,EcoReefID_short,projECT01ID,scientificName,scientificAbbreviation,identificationRemarks,EcoClusterID,EcoReefID,EcoReefHabitat,EcoZoneID,EcoLocationID_short,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,minimum,maximum,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,decimalLatitude,decimalLongitude,coordNote,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,decimalLatitude_plot,decimalLongitude_plot,EcoPlotID_full,depthOfBottominmeters,depthNote,depthOfColonyinmeters,EcoPlotDepthinmeters.tidecorrected
Ahya_16a,RRAP-ECT01-2021-Ahya-21550-16_L4,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:37,NA,NA,E Howells,19,1,2021,,-21.96286719,152.3072212,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190200,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2.8,ECT depth,2.8,NA
Ahya_8a,RRAP-ECT01-2021-Ahya-21550-8a_L3,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,11:23,NA,NA,E Howells,19,1,2021,,-21.96282637,152.3074762,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190188,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,3.3,ECT depth,3.3,NA
Ahya_9a,RRAP-ECT01-2021-Ahya-21550-9_L4,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,11:25,NA,NA,E Howells,19,1,2021,,-21.96282411,152.3074752,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190194,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,2.8,ECT depth,2.8,NA
Ahya_7a,RRAP-ECT01-2021-Ahya-21550-7_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,11:19,NA,NA,E Howells,19,1,2021,,-21.96282235,152.3074738,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190185,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,3.3,ECT depth,3.3,NA
Ahya_6a,RRAP-ECT01-2021-Ahya-21550-6_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,11:11,NA,NA,E Howells,19,1,2021,,-21.9628195,152.307478,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190175,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,5,ECT depth,5,NA
Ahya_4a,RRAP-ECT01-2021-Ahya-21550-4a-LEG5346-64_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,11:00,NA,NA,E Howells,19,1,2021,,-21.96281732,152.3074827,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190165,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,5.9,ECT depth,5.9,NA
Ahya_5a,RRAP-ECT01-2021-Ahya-21550-5_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,11:06,NA,NA,E Howells,19,1,2021,,-21.96281682,152.3074778,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190169,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,5,ECT depth,5,NA
Ahya_3a,RRAP-ECT01-2021-Ahya-21550-3a-LEG5346-41_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,10:57,NA,NA,E Howells,19,1,2021,,-21.96281531,152.3074759,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190159,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,4.5,ECT depth,4.5,NA
Ahya_2a,RRAP-ECT01-2021-Ahya-21550-2_L4,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,10:50,NA,NA,E Howells,19,1,2021,,-21.9628112,152.3074771,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1190154,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,5.4,ECT depth,5.4,NA
Ahya_37a,RRAP-ECT01-2021-Ahya-21550-37_L2,21-550,ECT01,Acropora hyacinthus,Ahya,NA,,21-550,NA,NA,21-550,NA,NA,NA,NA,NA,NA,Reef 21-550,14:48,NA,NA,E Howells,20,1,2021,,-21.95621942,152.2967232,,colony GPS,10,NA,NA,EHowells|VMocellin |RForster|LBay,P1200435,G19/43148.1,LBay | EHowells,RRAP,Australia,NA,NA,NA,NA,NA,1.2,ECT depth,1.2,NA
