individualID,materialSampleID,decimalLatitude,decimalLongitude,EcoLocationID_short,lineage
Ahya_1781,RRAP-ECT01-2022-Ahya-CBLM-1781_L2,NA,NA,NA,Ahya_taxon1
Ahya_1784,RRAP-ECT01-2022-Ahya-CBLM-1784_L2,NA,NA,NA,Ahya_taxon1
Ahya_1785,RRAP-ECT01-2022-Ahya-CBLM-1785_L2,NA,NA,NA,Ahya_taxon1
Ahya_1786,RRAP-ECT01-2022-Ahya-CBLM-1786_L2,NA,NA,NA,Ahya_taxon1
Ahya_1787,RRAP-ECT01-2022-Ahya-CBLM-1787_L2,NA,NA,NA,Ahya_taxon1
Ahya_1788,RRAP-ECT01-2022-Ahya-CBLM-1788_L2,NA,NA,NA,Ahya_taxon1
Ahya_1790,RRAP-ECT01-2022-Ahya-CBLM-1790_L2,NA,NA,NA,Ahya_taxon1
Ahya_787,RRAP-ECT01-2022-Ahya-MACK-787_L2,NA,NA,NA,Ahya_taxon1
Ahya_788,RRAP-ECT01-2022-Ahya-MACK-788_L2,NA,NA,NA,Ahya_taxon1
Ahya_789,RRAP-ECT01-2022-Ahya-MACK-789_L2,NA,NA,NA,Ahya_taxon1
Ahya_790,RRAP-ECT01-2022-Ahya-MACK-790_L2,NA,NA,NA,Ahya_taxon1
Ahya_791,RRAP-ECT01-2022-Ahya-MACK-791_L2,NA,NA,NA,Ahya_taxon1
Ahya_792,RRAP-ECT01-2022-Ahya-MACK-792_L2,NA,NA,NA,Ahya_taxon1
Ahya_793,RRAP-ECT01-2022-Ahya-MACK-793_L2,NA,NA,NA,Ahya_taxon1
Ahya_794,RRAP-ECT01-2022-Ahya-MACK-794_L2,NA,NA,NA,Ahya_taxon1
Ahya_795,RRAP-ECT01-2022-Ahya-MACK-795_L2,NA,NA,NA,Ahya_taxon1
Ahya_796,RRAP-ECT01-2022-Ahya-MACK-796_L2,NA,NA,NA,Ahya_taxon1
