individualID,materialSampleID,decimalLatitude,decimalLongitude,coordNote,decimalLatitute_field,decimalLongitude_field,minimumdepthOfBottominmeters,maximumdepthOfBottominmeters,EcoPlotDepthinmeters.tidecorrected,depthOfColonyinmeters,EcoReefID_short,locationID_short,EcoPlotID_full,projectID,scientificName_field,scientificAbbreviation,scientificName_verified,taxonID,identificationRemarks,EcoClusterID,EcoReefID,EcoReefHabitat,EcoZoneID,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,Plot_CoordNote,modifiedBy,modifiedReason,associatedTaxa,associatedReference
RRAP-ECO03-2022-Spis-OCDA-743,Spis-OCDA-743,-18.833,147.63338,Original metadata entry,-18.833,147.63338,5,5,2.3,NA,OCDA,OCDA_LA1S,OCDA_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon1,Shallow,20,NA,NA,NA,NA,NA,Davies,9:00,Zoe Meziere,22,1,2022,Partially bleached,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-746,Spis-OCDA-746,-18.833,147.63338,Original metadata entry,-18.833,147.63338,5,5,2.3,NA,OCDA,OCDA_LA1S,OCDA_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon1,Shallow,2,NA,NA,NA,NA,NA,Davies,9:00,Zoe Meziere,22,1,2022,Partially bleached,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2021-Spis-ONLI-486,Spis-ONLI-486,-14.667794,145.441894,Zone-level backup coordinates,NA,NA,5,5,3.1,NA,ONLI,ONLI_BA2S,ONLI_BA2S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore North GBR ,Lizard Island,Back2,Shallow,12,NA,NA,NA,NA,NA,Lizard Island,13:00,Zoe Meziere,31,10,2021,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Zone-level backup coordinates,NA,NA,NA,NA
RRAP-ECO03-2021-Spis-ONLI-490,Spis-ONLI-490,-14.687707,145.465276,Original metadata entry,-14.6877065,145.465276,5,5,3.7,NA,ONLI,ONLI_LA1S,ONLI_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore North GBR ,Lizard Island,Lagoon1,Shallow,7,NA,NA,NA,NA,NA,Lizard Island,10:00,Zoe Meziere,1,11,2021,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-752,Spis-OCDA-752,-18.833,147.63338,Original metadata entry,-18.833,147.63338,5,5,2.3,NA,OCDA,OCDA_LA1S,OCDA_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon1,Shallow,18,NA,NA,NA,NA,NA,Davies,9:00,Zoe Meziere,22,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-755,Spis-OCDA-755,-18.833,147.63338,Original metadata entry,-18.833,147.63338,5,5,2.3,NA,OCDA,OCDA_LA1S,OCDA_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon1,Shallow,13,NA,NA,NA,NA,NA,Davies,9:00,Zoe Meziere,22,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-757,Spis-OCDA-757,-18.833,147.63338,Original metadata entry,-18.833,147.63338,5,5,2.3,NA,OCDA,OCDA_LA1S,OCDA_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon1,Shallow,17,NA,NA,NA,NA,NA,Davies,9:00,Zoe Meziere,22,1,2022,Partially bleached,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-758,Spis-OCDA-758,-18.833,147.63338,Original metadata entry,-18.833,147.63338,5,5,2.3,NA,OCDA,OCDA_LA1S,OCDA_LA1S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon1,Shallow,6,NA,NA,NA,NA,NA,Davies,9:00,Zoe Meziere,22,1,2022,Partially bleached,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-760,Spis-OCDA-760,-18.83125,147.63316,Original metadata entry,-18.83125,147.63316,5,5,5.2,NA,OCDA,OCDA_LA2S,OCDA_LA2S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon2,Shallow,20,NA,NA,NA,NA,NA,Davies,14:30,Zoe Meziere,22,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
RRAP-ECO03-2022-Spis-OCDA-762,Spis-OCDA-762,-18.83125,147.63316,Original metadata entry,-18.83125,147.63316,5,5,5.2,NA,OCDA,OCDA_LA2S,OCDA_LA2S,ECO03,Stylophora pistillata,Spis,NA,NA,NA,Offshore Central GBR,Davies,Lagoon2,Shallow,12,NA,NA,NA,NA,NA,Davies,14:30,Zoe Meziere,22,1,2022,NA,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,P5240106 |P5240112,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,Original metadata entry,NA,NA,NA,NA
