individualID,materialSampleID,projectID,scientificName,scientificAbbreviation,identificationRemarks,EcoClusterID,EcoReefID,EcoReefID_short,EcoReefHabitat,EcoZoneID,EcoLocationID_short,fieldID,tagID,digitalOrthoYear,UWorthoYear,EcoPlotID,EcoPlotID_new,locality,timeOfDay,eventEnteredBy,dayCollected,monthCollected,yearCollected,fieldNotes,decimalLatitude,decimalLongitude,coordNote,georeferenceProtocol,coordinateUncertaintyInMeters,locationRemarks,healthScore,collectorList,associatedMedia,permitInformation,principalInvestigator,fundingSource,country,sizeOfColonyincm,Plot_MaxCoralDist.m,EcoPlotID_full,decimalLatitude_plot,decimalLongitude_plot,depthOfBottominMeters,depthNote,depthOfColonyinmeters,EcoPlotDepthinmeters.tidecorrected
202,RRAP-ECO3-2021-Ahya-TSAU-202_L4,ECO03,Acropora hyacinthus,Ahya,NA,Torres Strait,Aukane,TSAU,Front1,Shallow,TSAU_FR1S,NA,NA,NA,NA,NA,NA,Aukane,NA,Zoe Meziere,20,4,2021,NA,-9.87996,143.41004,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,NA,NA,GBRMPA G21/44774.205,Riginos,RRAP,Australia,NA,60,TSAU_FR1S,-9.87996,143.41004,3.1,ECO plot,NA,3.1
423,RRAP-ECO3-2021-Ahya-MOOR-423_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore North GBR ,Moore,ONMO,Back2,Shallow,ONMO_BA2S,10,NA,NA,NA,NA,NA,Moore Reef,0.604166667,Zoe Meziere,29,10,2021,NA,-16.8820015,146.183993,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.201,Riginos,RRAP,Australia,NA,60,ONMO_BA2S,-16.8820015,146.183993,3.6,ECO plot,NA,3.6
423,RRAP-ECO3-2021-Ahya-MOOR-423_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore North GBR ,Moore,ONMO,Back2,Shallow,ONMO_BA2S,10,NA,NA,NA,NA,NA,Moore Reef,0.604166667,Zoe Meziere,29,10,2021,NA,-16.8820015,146.183993,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.201,Riginos,RRAP,Australia,NA,60,ONMO_BA2S,-16.8820015,146.183993,3.6,ECO plot,NA,3.6
432,RRAP-ECO3-2021-Ahya-MOOR-432_L4,ECO03,Acropora hyacinthus,Ahya,NA,Offshore North GBR ,Moore,ONMO,Back2,Shallow,ONMO_BA2S,11,NA,NA,NA,NA,NA,Moore Reef,0.604166667,Zoe Meziere,29,10,2021,NA,-16.8820015,146.183993,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.210,Riginos,RRAP,Australia,NA,60,ONMO_BA2S,-16.8820015,146.183993,3.6,ECO plot,NA,3.6
444,RRAP-ECO3-2021-Ahya-LIZA-444_L3,ECO03,Acropora hyacinthus,Ahya,NA,Offshore North GBR ,Lizard Island,ONLI,Front1,Shallow,ONLI_FR1S,5,NA,NA,NA,NA,NA,Lizard Island,0.395833333,Zoe Meziere,30,10,2021,NA,-14.691274,145.46938,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.222,Riginos,RRAP,Australia,NA,60,ONLI_FR1S,-14.691274,145.46938,4.6,ECO plot,NA,4.6
447,RRAP-ECO3-2021-Ahya-LIZA-447_L3,ECO03,Acropora hyacinthus,Ahya,NA,Offshore North GBR ,Lizard Island,ONLI,Front1,Shallow,ONLI_FR1S,8,NA,NA,NA,NA,NA,Lizard Island,0.395833333,Zoe Meziere,30,10,2021,NA,-14.691274,145.46938,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.225,Riginos,RRAP,Australia,NA,60,ONLI_FR1S,-14.691274,145.46938,4.6,ECO plot,NA,4.6
459,RRAP-ECO3-2021-Ahya-LIZA-459_L3,ECO03,Acropora hyacinthus,Ahya,NA,Offshore North GBR ,Lizard Island,ONLI,Flank1,Shallow,ONLI_FL1S,1,NA,NA,NA,NA,NA,Lizard Island,0.583333333,Zoe Meziere,30,10,2021,NA,-14.6980975,145.445447,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.237,Riginos,RRAP,Australia,NA,60,ONLI_FL1S,-14.6980975,145.445447,4,ECO plot,NA,4
460,RRAP-ECO3-2021-Ahya-LIZA-460_L3,ECO03,Acropora hyacinthus,Ahya,NA,Offshore North GBR ,Lizard Island,ONLI,Flank1,Shallow,ONLI_FL1S,13,NA,NA,NA,NA,NA,Lizard Island,0.583333333,Zoe Meziere,30,10,2021,NA,-14.6980975,145.445447,Original metadata entry,GPS EcoRRAP sites,20,NA,NA,Zoe Meziere,NA,GBRMPA G21/44774.238,Riginos,RRAP,Australia,NA,60,ONLI_FL1S,-14.6980975,145.445447,4,ECO plot,NA,4
830,RRAP-ECO3-2022-Ahya-TSAU-830_L3,ECO03,Acropora hyacinthus,Ahya,PRM; some hyacinthus features,Torres Strait,Aukane,TSAU,Front2,Shallow,TSAU_FR2S,22,not found on ortho,NA,NA,NA,NA,Aukane,0.625,Cynthia Riginos,10,3,2022,near marker 633 | Acyt/hya,-9.88363,143.40704,Original metadata entry,GPS EcoRRAP sites,2,NA,NA,Cynthia Riginos,P3100007 | P3100008 | P3100016 | P3100017 | P3100018 | P3100019,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,NA,NA,NA,NA,5,Coarse,NA,NA
856,RRAP-ECO3-2022-Ahya-TSAU-856_L3,ECO03,Acropora hyacinthus,Ahya,PRM,Torres Strait,Aukane,TSAU,Flank1,Shallow,TSAU_FL1S,bag2,NA,NA,NA,<not in plot>,NA,Aukane,0.666666667,Cynthia Riginos,11,3,2022,NA,-9.882025,143.39442,Zone-level backup coordinates,GPS EcoRRAP sites,30,NA,NA,Paul Muir,P3110448 | P3110449 | P3110450,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,TSAU_FL1S,-9.882025,143.39442,3.2,ECO plot,5,3.2
857,RRAP-ECO3-2022-Ahya-TSAU-857_L2,ECO03,Acropora hyacinthus,Ahya,PRM,Torres Strait,Aukane,TSAU,Flank1,Shallow,TSAU_FL1S,bag3,NA,NA,NA,<not in plot>,NA,Aukane,0.666666667,Cynthia Riginos,11,3,2022,NA,-9.882025,143.39442,Zone-level backup coordinates,GPS EcoRRAP sites,30,NA,NA,Paul Muir,P3110454 | P3110455 | P3110456 | P3110457,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,TSAU_FL1S,-9.882025,143.39442,3.2,ECO plot,5,3.2
882,RRAP-ECO3-2022-Ahya-TSAU-882_L3,ECO03,Acropora hyacinthus,Ahya,Ahya but has some Acyt elements,Torres Strait,Aukane,TSAU,Back2,Shallow,TSAU_BA2S,NA,Ahya_20,2021,NA,2,NA,Aukane,0.416666667,Cynthia Riginos,12,3,2022,NA,-9.8757,143.388545,Zone-level backup coordinates,GPS EcoRRAP sites,2,NA,NA,Cynthia Riginos,P3120028 | P3120029 | P3120030,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,30,TSAU_BA2S_P2,-9.8757,143.388545,2.7,ECO plot,7,2.7
1030,RRAP-ECO3-2022-Ahya-TSMA-1030_L2,ECO03,Acropora hyacinthus,Ahya,CR,Torres Strait,Masig,TSMA,Back2,Shallow,TSMA_BA2S,NA,NA,NA,NA,4,NA,Masig,0.458333333,Cynthia Riginos,18,3,2022,NA,-9.7442395,143.415763,Zone-level backup coordinates,GPS EcoRRAP sites,2,NA,NA,Cynthia Riginos,P3180072 | P3180073 | P3180074,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,TSMA_BA2S_P4,-9.7442395,143.415763,4.1,ECO plot,5,4.1
1046,RRAP-ECO3-2022-Ahya-TSMA-1046_L2,ECO03,Acropora hyacinthus,Ahya,PRM,Torres Strait,Masig,TSMA,Front1,Shallow,TSMA_FR1S,NA,NA,NA,NA,NA,NA,Masig,0.625,Cynthia Riginos,18,3,2022,NA,-9.76224,143.421395,Zone-level backup coordinates,GPS EcoRRAP sites,30,NA,NA,Cynthia Riginos,P3180131 | P3180132 | P3180133,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,60,TSMA_FR1S,-9.76224,143.421395,3.6,ECO plot,3,3.6
1165,RRAP-ECO3-2022-Ahya-TSDU-1165_L2,ECO03,Acropora hyacinthus,Ahya,CR,Torres Strait,Dungeness,TSDU,Back3,Shallow,TSDU_BA3S,23,Acor_35,NA,NA,2,NA,Dungeness,0.416666667,Cynthia Riginos,22,3,2022,NA,-9.985315,142.90854,Zone-level backup coordinates,GPS EcoRRAP sites,2,NA,NA,Cynthia Riginos,P3220068 | P3220069,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,30,TSDU_BA3S_P2,-9.985315,142.90854,2.5,ECO plot,5,2.5
BLCH12A,RRAP-ECO3-2022-Ahya-BLCH12A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Davies,OCDA,Back1,Shallow,OCDA_BA1S,13,Ahya_3,NA,NA,P2,P3,Davies,0.604166667,Zoe Meziere,28,3,2022,NA,-18.8259,147.62727,Zone-level backup coordinates,NA,NA,NA,C3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,30,OCDA_BA1S_P3,-18.8259,147.62727,3.2,ECO plot,NA,3.2
BLCH14A,RRAP-ECO3-2022-Ahya-BLCH14A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Offshore Central GBR,Davies,OCDA,Back1,Shallow,OCDA_BA1S,7,Ahya_0,NA,NA,P2,P3,Davies,0.604166667,Zoe Meziere,28,3,2022,NA,-18.8259,147.62727,Zone-level backup coordinates,NA,NA,NA,D2,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,30,OCDA_BA1S_P3,-18.8259,147.62727,3.2,ECO plot,NA,3.2
BLCH194A,RRAP-ECO3-2022-Ahya-BLCH194A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Pelorus,PAPE,Front1,Shallow,PAPE_FR1S,5,Ahya_6,NA,NA,P1,NA,Palm Islands,0.4375,Zoe Meziere,11,4,2022,NA,-18.53959533,146.4993701,Mean of StakeA and StakeB,NA,NA,NA,C3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAPE_FR1S_P1,-18.53959533,146.4993701,5.4,ECO plot,NA,5.4
BLCH195A,RRAP-ECO3-2022-Ahya-BLCH195A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Pelorus,PAPE,Front1,Shallow,PAPE_FR1S,17,Ahya_50,NA,NA,P1,NA,Palm Islands,0.4375,Zoe Meziere,11,4,2022,NA,-18.53959533,146.4993701,Mean of StakeA and StakeB,NA,NA,NA,D3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAPE_FR1S_P1,-18.53959533,146.4993701,5.4,ECO plot,NA,5.4
BLCH196A,RRAP-ECO3-2022-Ahya-BLCH196A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Pelorus,PAPE,Front1,Shallow,PAPE_FR1S,22,Ahya_0,NA,NA,P1,NA,Palm Islands,0.4375,Zoe Meziere,11,4,2022,NA,-18.53959533,146.4993701,Mean of StakeA and StakeB,NA,NA,NA,C3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAPE_FR1S_P1,-18.53959533,146.4993701,5.4,ECO plot,NA,5.4
BLCH198A,RRAP-ECO3-2022-Ahya-BLCH198A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Pelorus,PAPE,Front1,Shallow,PAPE_FR1S,35,Ahya_4,NA,NA,P1,NA,Palm Islands,0.4375,Zoe Meziere,11,4,2022,NA,-18.53959533,146.4993701,Mean of StakeA and StakeB,NA,NA,NA,C3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAPE_FR1S_P1,-18.53959533,146.4993701,5.4,ECO plot,NA,5.4
BLCH205A,RRAP-ECO3-2022-Ahya-BLCH205A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Pelorus,PAPE,Front1,Shallow,PAPE_FR1S,38,Ahya_20,NA,NA,P3,NA,Palm Islands,0.4375,Zoe Meziere,11,4,2022,NA,-18.539612,146.499036,Mean of StakeA and StakeB,NA,NA,NA,D3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAPE_FR1S_P3,-18.539612,146.499036,4,ECO plot,NA,4
BLCH206A,RRAP-ECO3-2022-Ahya-BLCH206A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Pelorus,PAPE,Front1,Shallow,PAPE_FR1S,32,Ahya_19,NA,NA,P3,NA,Palm Islands,0.4375,Zoe Meziere,11,4,2022,NA,-18.539612,146.499036,Mean of StakeA and StakeB,NA,NA,NA,D3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAPE_FR1S_P3,-18.539612,146.499036,4,ECO plot,NA,4
BLCH208A,RRAP-ECO3-2022-Ahya-BLCH208A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Pelorus,PAPE,Front1,Shallow,PAPE_FR1S,20,Ahya_37,NA,NA,P4,NA,Palm Islands,0.4375,Zoe Meziere,11,4,2022,NA,-18.539644,146.498876,Mean of StakeA and StakeB,NA,NA,NA,D2.5,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAPE_FR1S_P4,-18.539644,146.498876,3.3,ECO plot,NA,3.3
BLCH211A,RRAP-ECO3-2022-Ahya-BLCH211A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Orpheus,PAOR,Flank1,Shallow,PAOR_FL1S,40,Ahya_NN,NA,NA,P1,NA,Palm Islands,0.395833333,Zoe Meziere,12,4,2022,NA,-18.5722065,146.4953325,Mean of StakeA and StakeB,NA,NA,NA,C3,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAOR_FL1S_P1,-18.5722065,146.4953325,3,ECO plot,NA,3
BLCH212A,RRAP-ECO3-2022-Ahya-BLCH212A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Orpheus,PAOR,Flank1,Shallow,PAOR_FL1S,8,Ahya_NN,NA,NA,P1,NA,Palm Islands,0.395833333,Zoe Meziere,12,4,2022,NA,-18.5722065,146.4953325,Mean of StakeA and StakeB,NA,NA,NA,D2.5,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAOR_FL1S_P1,-18.5722065,146.4953325,3,ECO plot,NA,3
BLCH213A,RRAP-ECO3-2022-Ahya-BLCH213A_L2,ECO03_BLCH,Acropora hyacinthus,Ahya,NA,Inshore Central GBR,Orpheus,PAOR,Flank1,Shallow,PAOR_FL1S,19,Ahya_NN,NA,NA,P1,NA,Palm Islands,0.395833333,Zoe Meziere,12,4,2022,NA,-18.5722065,146.4953325,Mean of StakeA and StakeB,NA,NA,NA,D4,Zoe Meziere,NA,GBRMPA G21/44774.1,Riginos,RRAP,Australia,NA,6,PAOR_FL1S_P1,-18.5722065,146.4953325,3,ECO plot,NA,3
